point,model,ols,nn3
0,20.357419967651367,20.35731315612793,20.35731315612793
1,17.90169334411621,17.915653228759766,39.34522247314453
2,18.271360397338867,18.237239837646484,30.768030166625977
3,17.09255027770996,17.04914665222168,26.144420623779297
4,16.187368392944336,16.144550323486328,23.671419143676758
5,15.274799346923828,15.254602432250977,22.246929168701172
6,14.3882417678833,14.343143463134766,21.33771514892578
7,12.311264991760254,12.229349136352539,19.975500106811523
8,11.9487886428833,11.908559799194336,20.024446487426758
9,10.989460945129395,10.908025741577148,18.269004821777344
10,10.16239070892334,10.094202995300293,18.568328857421875
11,9.030275344848633,8.94862174987793,17.603410720825195
12,8.075814247131348,8.03950309753418,17.6341552734375
13,6.995481967926025,6.9522247314453125,16.93227195739746
14,6.018620491027832,5.964046001434326,17.01544189453125
15,5.0308356285095215,5.006824493408203,16.70210838317871
16,3.9870545864105225,3.940154790878296,16.888200759887695
17,3.129451274871826,3.0648081302642822,15.698003768920898
18,2.1026082038879395,2.0232131481170654,16.17486000061035
19,1.1826993227005005,0.983673632144928,15.906296730041504
20,0.46003958582878113,8.54920358506206e-07,15.342839241027832
21,0.1987834870815277,6.276354436174358e-11,15.092199325561523
22,0.09862960129976273,1.6928186283293734e-11,15.809223175048828
23,0.06131812557578087,9.124280324346312e-12,15.18667984008789
24,0.045169804245233536,6.310887576410629e-12,15.396504402160645
25,0.03315788507461548,4.584387990752559e-12,15.091679573059082
26,0.026560569182038307,4.3264311404278555e-12,14.593568801879883
27,0.023753277957439423,3.454629160862255e-12,15.573719024658203
28,0.01994793862104416,3.1807009283346677e-12,14.728292465209961
29,0.019399650394916534,2.864578799860462e-12,14.56417465209961
30,0.017218872904777527,2.6503909743985643e-12,14.24156379699707
31,0.01720460318028927,2.4680064849430527e-12,15.185835838317871
32,0.014781800098717213,2.8533161076926827e-12,14.382841110229492
33,0.014631640166044235,2.6902004929274526e-12,14.606651306152344
34,0.014445275999605656,2.6673715319835978e-12,14.385865211486816
35,0.013661082834005356,2.368087496928961e-12,14.329156875610352
36,0.013461172580718994,2.3858801219411863e-12,14.335094451904297
37,0.012449534609913826,2.165950795454674e-12,13.962285041809082
38,0.012890461832284927,2.1422616285071694e-12,13.913702011108398
39,0.01199137233197689,2.001452389238656e-12,13.644438743591309
40,0.011748744174838066,1.9381664242285046e-12,13.623998641967773
