point,OLS,3NN,Averaging,"2-layer NN, Adam"
0,19.58477783203125,19.58477783203125,19.58477783203125,19.58477783203125
5,20.215002059936523,16.21366310119629,99.45034790039062,14.17734146118164
10,24.452865600585938,13.607477188110352,57.937355041503906,11.68960952758789
20,136550.0,11.913840293884277,34.615516662597656,8.593790054321289
30,30.836044311523438,11.938249588012695,24.960596084594727,7.263245582580566
40,22.52179718017578,10.702165603637695,20.33220672607422,6.017990589141846
60,15.563226699829102,9.685924530029297,17.489276885986328,4.474402904510498
80,14.347673416137695,9.836504936218262,15.614957809448242,3.8955001831054688
100,13.157275199890137,9.038529396057129,14.801101684570312,3.8242008686065674
